               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.012808,           0.0040961,            0.001277,             0.99883,                   1,               0.995,             0.97177,           0.0017938,           0.0010155,          0.00015517,           0.0082551,           0.0082551,           0.0082551
                 143,            0.011693,           0.0042766,           0.0011067,             0.99845,                   1,               0.995,             0.97532,           0.0018649,           0.0011074,          0.00010659,           0.0082428,           0.0082428,           0.0082428
                 144,            0.012992,           0.0044233,          0.00090699,             0.99867,                   1,               0.995,             0.97065,            0.001774,           0.0009896,          0.00014887,           0.0082304,           0.0082304,           0.0082304
                 145,            0.010994,           0.0043354,          0.00060844,             0.99885,                   1,               0.995,             0.97124,           0.0018649,           0.0010661,          0.00014032,            0.008218,            0.008218,            0.008218
                 146,            0.010756,           0.0043046,          0.00054637,             0.99854,                   1,               0.995,             0.96812,           0.0017484,           0.0010428,          0.00010386,           0.0082056,           0.0082056,           0.0082056
                 147,            0.011552,            0.004133,          0.00057893,             0.99875,                   1,               0.995,             0.97301,           0.0018219,          0.00099962,          0.00013371,           0.0081932,           0.0081932,           0.0081932
                 148,            0.011442,           0.0041726,           0.0010253,             0.99802,                   1,               0.995,             0.97476,           0.0016506,          0.00099434,          0.00015949,           0.0081809,           0.0081809,           0.0081809
                 149,            0.013182,           0.0043711,          0.00065777,             0.99845,                   1,               0.995,             0.97012,           0.0016593,          0.00099636,          0.00011502,           0.0081685,           0.0081685,           0.0081685
                 150,            0.010362,           0.0041121,          0.00057913,              0.9987,                   1,               0.995,             0.97649,           0.0016819,          0.00098035,          0.00011842,           0.0081561,           0.0081561,           0.0081561
                 151,            0.012057,           0.0040345,          0.00063595,             0.99866,                   1,               0.995,             0.97489,           0.0016186,          0.00098173,          0.00013706,           0.0081437,           0.0081437,           0.0081437
                 152,            0.013239,           0.0043191,           0.0006329,             0.99879,                   1,               0.995,             0.96972,           0.0018493,          0.00097201,          0.00014199,           0.0081314,           0.0081314,           0.0081314
                 153,            0.012602,            0.003943,          0.00076626,             0.99863,                   1,               0.995,             0.97513,           0.0017867,           0.0010499,          0.00011924,            0.008119,            0.008119,            0.008119
                 154,            0.011066,           0.0042037,           0.0010729,             0.99869,                   1,               0.995,             0.97894,           0.0016202,          0.00097865,          0.00013672,           0.0081066,           0.0081066,           0.0081066
                 155,            0.010876,           0.0040745,          0.00077366,             0.99852,                   1,               0.995,             0.97738,           0.0018045,           0.0010493,          0.00010668,           0.0080942,           0.0080942,           0.0080942
